time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447450000	19.8022	9.19902	4.78409	1.19988	0.41504	radar	1.05166	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9368	9.4118	4.79204	1.19963	0.390661	lidar	2.73502	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9764	9.64399	4.76956	1.25096	0.446355	radar	2.90394	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0675	9.87177	4.77713	1.26629	0.438078	lidar	0.495948	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.126	10.1193	4.79917	1.2914	0.434826	radar	6.83758	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1767	10.3777	4.8257	1.32283	0.444787	lidar	0.489375	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1896	10.6184	4.81127	1.37381	0.492965	radar	2.98982	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2509	10.8786	4.84298	1.39541	0.488175	lidar	1.65162	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2798	11.1321	4.85957	1.42292	0.486549	radar	4.79045	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3149	11.3673	4.85404	1.44567	0.48505	lidar	0.0207427	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2577	11.6195	4.83774	1.52696	0.581586	radar	10.7091	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3307	11.8565	4.84175	1.52956	0.552096	lidar	4.70983	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.357	12.0909	4.84325	1.5323	0.500586	radar	3.75614	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3466	12.3668	4.88159	1.56655	0.508588	lidar	0.97889	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2952	12.6074	4.86752	1.62767	0.573002	radar	3.2295	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3203	12.8464	4.86424	1.63953	0.554916	lidar	1.82647	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
